       JobID              Submit               Start            Eligible  Partition          Reservation AllocNodes  AllocCPUS ReqNodes  ReqCPUS      ReqGRES  Timelimit    Elapsed  cascades
------------ ------------------- ------------------- ------------------- ---------- -------------------- ---------- ---------- -------- -------- ------------ ---------- ----------  cascades
591063       2021-03-02T18:40:15 2021-03-02T18:40:32 2021-03-02T18:40:15   normal_q                               1         32        1       32              6-00:00:00 6-00:00:27  cascades
592820       2021-03-02T21:42:14 2021-03-02T21:42:14 2021-03-02T21:42:14 v100_norm+                               1          1        1        1        gpu:1 6-00:00:00 6-00:00:15  cascades
593941       2021-03-02T23:38:13 2021-03-02T23:38:13 2021-03-02T23:38:13 v100_norm+                               1          1        1        1        gpu:1 6-00:00:00 5-17:57:15  cascades
594215       2021-03-03T00:24:30 2021-03-03T00:24:30 2021-03-03T00:24:30 v100_norm+                               1          1        1        1        gpu:1 6-00:00:00 5-16:50:28  cascades
594356       2021-03-03T02:12:38 2021-03-07T05:25:52 2021-03-03T02:12:38 v100_norm+                               2         48        2       48        gpu:4 2-12:00:00 1-18:48:14  cascades
595479       2021-03-03T19:24:08 2021-03-03T19:24:08 2021-03-03T19:24:08 v100_norm+                               1          1        1        1        gpu:1 6-00:00:00 5-03:24:35  cascades
595796       2021-03-03T22:31:27 2021-03-03T22:31:27 2021-03-03T22:31:27 v100_norm+                               1          1        1        1        gpu:1 6-00:00:00 5-00:16:52  cascades
598790       2021-03-05T10:38:12 2021-03-09T00:14:09 2021-03-05T10:38:12 v100_norm+                               1         24        1       24        gpu:2 6-00:00:00   04:16:08  cascades
598791       2021-03-05T10:38:14 2021-03-09T00:14:09 2021-03-05T10:38:14 v100_norm+                               1         24        1       24        gpu:2 6-00:00:00   04:16:08  cascades
599143       2021-03-05T18:06:33 2021-03-05T18:06:33 2021-03-05T18:06:33 v100_norm+                               1          1        1        1        gpu:1 6-00:00:00 2-23:29:45  cascades
599299       2021-03-06T12:03:24 2021-03-07T18:14:06 2021-03-06T12:03:24   normal_q                              12        384       12      384              1-00:00:00 1-00:00:23  cascades
599300       2021-03-06T12:06:33 2021-03-08T18:14:33 2021-03-06T12:06:33   normal_q                              12        384       12      384              1-00:00:00   10:15:44  cascades
599529       2021-03-06T21:21:50 2021-03-07T23:41:42 2021-03-06T21:21:50   normal_q                              10        300       10      300              1-00:00:00   19:08:11  cascades
599570       2021-03-07T06:33:00 2021-03-07T06:33:10 2021-03-07T06:33:00   normal_q                               1          4        1        4              2-00:00:00 1-13:11:12  cascades
599571       2021-03-07T07:48:28 2021-03-08T10:14:30 2021-03-07T07:48:28   normal_q                              10        300       10      300              1-00:00:00   10:27:49  cascades
599622       2021-03-07T11:34:00 2021-03-08T18:49:55 2021-03-07T11:34:00   normal_q                              10        300       10      300              1-00:00:00   09:40:22  cascades
599632       2021-03-07T14:47:41 2021-03-07T17:41:21 2021-03-07T14:47:41   normal_q                               1         32        1        1              1-03:00:00   23:56:23  cascades
599633       2021-03-07T14:47:48 2021-03-07T19:29:22 2021-03-07T14:47:48   normal_q                               1         32        1        1              1-02:00:00   22:45:24  cascades
599634       2021-03-07T14:47:55 2021-03-07T19:30:22 2021-03-07T14:47:55   normal_q                               1         32        1        1              1-00:00:00   23:04:38  cascades
599635       2021-03-07T14:48:01 2021-03-07T19:48:28 2021-03-07T14:48:01   normal_q                               1         32        1        1              1-00:00:00   21:53:35  cascades
599637       2021-03-07T14:48:13 2021-03-07T22:46:22 2021-03-07T14:48:13   normal_q                               1         32        1        1                21:00:00   19:11:52  cascades
599638       2021-03-07T14:48:20 2021-03-08T00:25:52 2021-03-07T14:48:20   normal_q                               1         32        1        1                20:00:00   18:06:35  cascades
599639       2021-03-07T14:48:30 2021-03-08T00:25:52 2021-03-07T14:48:30   normal_q                               1         32        1        1                18:00:00   16:59:50  cascades
599640       2021-03-07T14:48:36 2021-03-08T00:25:52 2021-03-07T14:48:36   normal_q                               1         32        1        1                18:00:00   16:06:56  cascades
599649       2021-03-07T15:16:48 2021-03-08T03:12:03 2021-03-07T15:16:48   normal_q                               1         32        1        1              1-03:00:00 1-01:00:34  cascades
