RESV_NAME                 STATE           START_TIME             END_TIME     DURATION  NODELIST
hoffman-beegfstesting    ACTIVE  2020-06-22T09:19:14  2021-06-22T09:19:14  365-00:00:00  ca[004-005]
beegfs                   ACTIVE  2020-07-13T08:00:00  2021-07-13T08:00:00  365-00:00:00  ca[014-015]
DEQ                      ACTIVE  2021-01-22T16:33:22  2022-01-22T16:33:22  365-00:00:00  ca[077-084]
sysb3116_0324          INACTIVE  2021-03-24T09:00:00  2021-03-24T13:15:00     04:15:00  ca007
sysb3116_0331          INACTIVE  2021-03-31T09:00:00  2021-03-31T13:15:00     04:15:00  ca007
sysb3116_0407          INACTIVE  2021-04-07T09:00:00  2021-04-07T13:15:00     04:15:00  ca007
sysb3116_0414          INACTIVE  2021-04-14T09:00:00  2021-04-14T13:15:00     04:15:00  ca007
sysb3116_0421          INACTIVE  2021-04-21T09:00:00  2021-04-21T13:15:00     04:15:00  ca007
sysb3116_0428          INACTIVE  2021-04-28T09:00:00  2021-04-28T13:15:00     04:15:00  ca007
sysb3116_0505          INACTIVE  2021-05-05T09:00:00  2021-05-05T13:15:00     04:15:00  ca007
