       JobID              Submit               Start            Eligible  Partition          Reservation AllocNodes  AllocCPUS ReqNodes  ReqCPUS      ReqGRES  Timelimit    Elapsed  huckleberry
------------ ------------------- ------------------- ------------------- ---------- -------------------- ---------- ---------- -------- -------- ------------ ---------- ----------  huckleberry
69502        2021-03-09T12:37:29 2021-03-09T12:37:30 2021-03-09T12:37:29   normal_q                               1          1        1        1              2-12:00:00 2-12:00:08  huckleberry
69548        2021-03-11T15:11:01 2021-03-11T15:11:01 2021-03-11T15:11:01    large_q                               1          1        1        1              1-00:00:00   11:10:50  huckleberry
69549        2021-03-11T15:37:45 2021-03-11T15:37:46 2021-03-11T15:37:45   normal_q                               1         10        1       10        gpu:1   01:00:00   00:57:02  huckleberry
69550        2021-03-11T15:39:28 2021-03-11T15:39:28 2021-03-11T15:39:28   normal_q                               2         40        2       20        gpu:8 2-00:00:00   00:55:51  huckleberry
69551        2021-03-11T16:34:35 2021-03-11T16:35:19 2021-03-11T16:34:35   normal_q                               2         40        2       20        gpu:8 2-00:00:00   00:00:04  huckleberry
69552        2021-03-11T16:35:40 2021-03-11T16:35:40 2021-03-11T16:35:40   normal_q                               2         40        2       20        gpu:8 2-00:00:00   00:32:30  huckleberry
69553        2021-03-11T16:36:51 2021-03-11T16:36:51 2021-03-11T16:36:51   normal_q                               1         10        1       10        gpu:1   01:00:00   01:00:15  huckleberry
69554        2021-03-11T17:08:15 2021-03-11T17:08:16 2021-03-11T17:08:15   normal_q                               2         40        2       20        gpu:8 2-00:00:00   00:00:02  huckleberry
69555        2021-03-11T17:08:35 2021-03-11T17:08:36 2021-03-11T17:08:35   normal_q                               2         40        2       20        gpu:8 2-00:00:00   11:21:51  huckleberry
69556        2021-03-11T18:44:29 2021-03-11T18:44:29 2021-03-11T18:44:29   normal_q                               1         10        1       10        gpu:1   01:00:00   01:00:07  huckleberry
69557        2021-03-11T21:24:45 2021-03-11T21:24:46 2021-03-11T21:24:45   normal_q                               1         20        1       20        gpu:1 1-00:00:00   00:05:17  huckleberry
69558        2021-03-11T21:39:47 2021-03-11T21:39:47 2021-03-11T21:39:47   normal_q                               1         20        1       20        gpu:1 1-00:00:00   00:00:03  huckleberry
69559        2021-03-11T21:42:11 2021-03-11T21:42:11 2021-03-11T21:42:11   normal_q                               1         20        1       20        gpu:1 1-00:00:00   00:52:40  huckleberry
69560        2021-03-11T21:42:46 2021-03-11T21:42:46 2021-03-11T21:42:46   normal_q                               1         20        1       20        gpu:1 1-00:00:00   00:47:24  huckleberry
69561        2021-03-12T00:25:59 2021-03-12T00:25:59 2021-03-12T00:25:59   normal_q                               1         20        1       20        gpu:1 1-00:00:00   00:52:38  huckleberry
69562        2021-03-12T00:30:29 2021-03-12T00:30:30 2021-03-12T00:30:29   normal_q                               1         20        1       20        gpu:1 1-00:00:00   00:52:30  huckleberry
